Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2013-04-20,25-037,GSW,@,DEN,L (-2),1,42:56,7,20,.350,4,10,.400,1,1,1.000,0,4,4,9,2,0,5,2,19,11.5,+8
2,2,2013-04-23,25-040,GSW,@,DEN,W (+14),1,41:38,13,23,.565,4,10,.400,0,0,,0,5,5,13,3,0,1,4,30,30.1,+15
3,3,2013-04-26,25-043,GSW,,DEN,W (+2),1,37:50,8,17,.471,4,7,.571,9,9,1.000,0,6,6,11,2,0,3,4,29,27.2,+13
4,4,2013-04-28,25-045,GSW,,DEN,W (+14),1,33:06,10,16,.625,6,11,.545,5,5,1.000,0,3,3,7,4,0,2,4,31,30.0,+21
5,5,2013-04-30,25-047,GSW,@,DEN,L (-7),1,41:52,7,19,.368,1,6,.167,0,0,,1,3,4,8,0,1,2,5,15,8.4,-3
6,6,2013-05-02,25-049,GSW,,DEN,W (+4),1,41:56,6,14,.429,4,8,.500,6,6,1.000,1,3,4,8,2,0,7,3,22,15.6,-2
7,7,2013-05-06,25-053,GSW,@,SAS,L (-2),1,57:56,18,35,.514,6,14,.429,2,2,1.000,0,4,4,11,2,0,6,3,44,30.4,-2
8,8,2013-05-08,25-055,GSW,@,SAS,W (+9),1,43:01,7,20,.350,2,6,.333,6,9,.667,0,4,4,4,1,0,2,2,22,11.8,+16
9,9,2013-05-10,25-057,GSW,,SAS,L (-10),1,42:28,5,17,.294,3,9,.333,3,3,1.000,0,2,2,8,2,0,3,3,16,10.1,+1
10,10,2013-05-12,25-059,GSW,,SAS,W (+10),1,38:36,7,15,.467,5,10,.500,3,3,1.000,2,4,6,4,0,0,2,2,22,16.9,+23
11,11,2013-05-14,25-061,GSW,@,SAS,L (-18),1,34:45,4,14,.286,1,7,.143,0,0,,0,0,0,8,1,0,4,1,9,3.0,-21
12,12,2013-05-16,25-063,GSW,,SAS,L (-12),1,40:26,10,25,.400,2,8,.250,0,0,,1,3,4,6,1,1,3,2,22,12.2,-19
