idno,litter_size,number_male,number_female,sire
3,6,5,1,4171
4,3,2,1,617
2,5,2,3,578
7,3,1,1,5623
10,3,1,0,5393
1,1,1,0,57
6,3,1,2,4134
8,4,1,2,922
9,10,4,4,4171
5,3,1,2,5351
11,4,1,0,4171
16,11,4,7,3689
14,9,4,5,2881
12,8,4,4,3644
18,8,5,1,1875
17,8,5,3,3689
13,5,2,3,4314
19,12,4,6,2251
15,3,1,2,3689
22,5,4,1,2022
20,7,4,3,2022
23,7,1,6,4237
34,12,2,6,2769
31,4,1,3,4412
28,8,4,4,633
25,8,5,3,1836
26,5,2,3,2986
27,7,5,2,4237
32,8,6,2,2769
30,6,2,4,4412
29,3,0,3,2419
33,8,2,2,5883
21,15,8,7,4135
24,8,3,5,5536
35,6,4,2,4050
36,6,2,4,1840
80,6,4,1,3670
82,10,4,4,81
70,4,3,1,831
55,7,2,5,3321
61,5,1,4,3713
45,5,3,2,5010
66,6,6,0,2713
54,11,9,2,3321
60,9,3,6,2497
73,7,3,3,3009
58,7,7,0,3184
49,7,2,5,5386
51,6,1,5,219
72,8,4,3,3152
81,2,1,0,5672
63,7,3,4,2495
64,7,2,5,2497
46,11,3,8,3712
74,3,0,2,3378
79,7,5,1,5344
53,5,2,3,1196
41,7,3,4,1342
85,8,0,1,5009
67,10,5,5,3852
39,7,4,3,1118
83,5,2,1,2950
71,8,4,3,1224
68,5,1,4,2050
44,3,1,2,2533
48,9,4,5,2911
76,5,3,1,3119
65,10,4,6,3713
40,8,3,5,5439
50,5,2,3,5668
77,7,3,3,1224
37,6,3,3,5035
84,6,2,1,1833
42,5,2,3,3378
69,10,6,4,2050
57,6,3,3,3712
56,8,4,4,5659
78,7,4,2,3152
62,8,6,2,2950
52,8,4,4,486
75,8,3,4,2911
38,7,5,2,6081
47,11,7,4,2495
59,6,5,1,3901
43,6,2,4,3604
87,4,1,3,337
89,5,4,1,4750
86,7,5,2,3744
90,7,3,3,3746
91,5,1,1,3745
88,7,5,2,3745
105,6,2,2,3837
103,5,1,2,4198
98,5,3,2,1482
99,6,1,5,3605
106,9,2,3,4115
101,6,4,1,222
94,2,1,1,2697
93,4,1,3,4850
104,8,4,2,243
97,8,4,4,4198
92,11,9,2,4138
107,11,2,3,4850
95,9,5,4,5686
96,5,3,2,5686
100,1,0,1,243
102,2,0,1,5686
148,7,5,2,5194
130,3,1,2,3660
135,3,2,1,3675
117,5,4,1,3768
149,6,2,4,3661
111,3,1,2,5440
129,3,2,1,3675
108,3,2,1,3490
144,2,1,1,5155
188,6,4,1,2899
196,3,0,1,4879
110,5,2,3,55
170,8,6,2,2550
158,7,3,4,5036
189,9,3,5,1248
172,6,2,4,3660
120,5,2,3,5345
174,4,2,2,5155
197,8,4,2,5228
113,1,1,0,2550
138,7,2,5,5569
175,2,0,2,379
151,5,4,1,5983
142,8,6,2,580
143,5,3,2,3675
133,6,5,1,2900
156,6,1,5,1220
118,4,2,2,3490
163,3,2,1,3675
114,5,2,2,5345
128,5,5,0,3660
164,4,2,2,2702
125,6,4,2,1584
136,7,5,2,3490
201,7,3,1,3725
191,5,2,2,4742
153,5,1,4,3675
169,8,3,5,5194
115,4,3,1,2550
126,5,1,4,5139
122,7,2,5,1220
123,4,1,3,5155
154,5,1,4,335
145,8,4,4,580
165,6,4,2,3725
116,7,5,2,594
187,7,4,2,594
162,7,3,4,3725
150,3,1,2,5194
183,4,2,1,4741
178,4,3,1,7
127,5,4,1,4687
186,6,3,2,3725
124,5,1,4,1525
131,3,1,2,3775
195,8,3,3,3825
137,2,2,0,3675
152,5,3,2,3490
146,6,3,3,3101
198,7,4,1,3675
193,3,1,0,3675
167,3,2,1,2899
194,6,0,4,1784
200,6,3,0,3725
166,6,4,2,2702
190,4,2,1,3574
180,7,3,3,3490
192,9,8,0,5036
160,6,4,2,3574
109,7,3,4,1460
134,6,4,2,3768
112,5,2,3,3660
140,3,2,1,4878
121,6,5,1,3675
132,3,3,0,3101
168,7,3,4,3164
177,4,1,3,5036
141,6,4,2,2841
171,4,0,4,3775
176,5,4,1,5840
139,5,2,3,5037
179,5,,1,3000
185,7,2,4,5036
147,4,2,2,4741
157,6,4,2,2901
181,8,4,3,5036
173,7,5,2,3660
182,5,3,1,2446
159,5,3,2,3574
184,5,2,2,3900
161,5,2,3,5194
119,6,4,2,1248
155,3,0,3,3725
202,8,2,3,4742
199,10,7,1,5569
214,5,2,3,2630
215,6,3,2,3909
216,3,1,2,4549
217,6,3,3,2155
218,10,7,3,5313
232,7,3,4,6070
237,12,5,5,796
222,7,3,4,5978
221,9,2,7,3684
234,7,7,0,4701
219,7,2,5,332
225,8,2,6,4667
233,11,7,4,3877
229,7,4,3,4525
223,7,6,1,2328
230,6,4,2,5264
231,2,1,1,3766
220,9,2,7,5149
228,8,5,3,6024
227,6,2,4,5149
224,13,4,9,5372
226,7,5,2,3707
236,9,2,6,4868
235,8,3,4,3684
257,7,5,2,767
269,7,4,3,383
263,5,2,3,2521
268,3,2,1,4447
265,3,3,0,2521
260,7,6,1,356
266,6,5,1,2837
262,5,4,1,1265
271,1,0,1,356
261,6,4,2,5270
267,5,2,3,1265
276,4,2,1,1378
273,7,4,3,767
259,8,4,4,4943
270,6,3,3,767
278,6,2,2,4731
274,6,2,4,1378
272,7,5,2,383
275,5,2,2,644
258,7,2,5,3046
277,6,2,2,4447
264,5,4,1,1912
282,8,7,1,3708
296,4,3,1,839
293,7,4,3,631
291,4,3,1,2977
284,6,4,2,3764
294,6,2,4,349
289,6,3,3,3694
295,5,2,3,5621
300,4,2,2,5551
280,5,3,2,4574
287,6,5,1,630
297,6,3,3,839
292,3,2,1,3756
285,7,5,2,323
288,2,1,1,5624
286,4,3,1,5624
298,1,1,0,4147
279,2,0,2,2978
299,5,3,2,450
283,6,3,3,839
281,4,1,3,943
290,5,2,3,395
210,3,1,1,5061
212,10,6,1,4638
209,8,5,2,5258
206,2,1,1,4638
205,1,1,0,3422
203,8,6,2,658
207,8,3,5,4638
213,12,4,4,4678
204,1,0,1,4638
211,10,4,4,5061
208,5,3,2,5485
4105,5,2,3,5605
4101,6,6,0,3307
4097,7,6,1,5208
4100,5,2,3,5261
4102,5,3,2,4702
4098,8,5,3,4600
4103,1,0,1,4702
4104,7,4,3,4272
4099,8,2,6,4906
310,4,2,2,1536
316,9,4,4,4110
320,8,2,4,4132
315,11,5,5,1535
314,2,0,2,2635
305,2,2,0,4132
319,9,6,1,2242
303,1,0,1,4110
313,7,4,3,3539
317,11,7,3,2216
318,8,4,2,2768
321,11,4,3,5577
307,3,0,2,5263
312,8,4,4,4132
306,10,6,4,4132
308,9,5,4,517
304,7,5,2,516
309,3,0,3,792
301,7,3,4,5262
302,9,4,5,3859
311,1,1,0,1536
323,4,2,2,1904
322,5,1,4,1904
326,10,2,8,1899
325,10,6,4,4959
324,7,2,5,5606
410,8,3,3,2917
405,5,3,2,3342
431,4,1,1,1932
391,5,2,3,4857
331,3,1,2,2248
342,4,2,2,2249
330,2,0,2,966
376,6,1,5,3386
437,7,1,2,868
361,6,2,4,2124
344,5,1,4,406
337,7,1,0,1503
406,4,4,0,2865
403,6,5,1,3342
339,6,3,3,430
350,8,6,2,1780
381,7,1,6,2917
392,7,6,1,3342
346,6,1,4,2248
421,4,3,0,1846
387,3,2,1,406
371,8,6,2,1846
416,6,2,3,2249
363,6,5,1,2696
413,9,4,4,2504
341,6,2,4,813
424,6,4,0,3342
426,6,3,1,406
434,5,1,2,1232
357,5,2,3,966
433,4,0,2,2148
372,8,3,5,2795
401,3,1,2,387
386,5,2,3,4017
